id,label
469,Craig Yeung
471,Dexter Vines
474,Andrea DI Vito
475,Laura Villari
8669,Jamie Delano
8671,Jamie Mckelvie
480,Cam Smith
481,Barry Kitson
483,Tom Grummett
485,Andy Lanning
486,Scott Koblish
8678,Jared K. Fletcher
8680,Jason Armstrong
489,Philip Tan
490,Pat Lee
8683,Jason Chan
8684,Jason Craig
8677,Janice Parker
494,Joshua Middleton
495,Takeshi Miyazawa
496,Andi Watson
8689,Jason Lewis
491,Mark Ricketts
8685,Jason Geyer
500,Christopher Sotomayor
8695,Jason Paz
504,Steve Sadowski
505,Andrew Currie
506,Joe Bennett
8698,Jason Starr
8700,Javier Fernandez Barranco
509,Michael Lark
510,Stefano Gaudiano
8701,Javier Grillo-Marxuach
512,Lee Bermejo
515,Joseph Michael Linsner
518,Al Vey
519,Gail Simone
521,Reginald Hudlin
523,Bill Reinhold
524,Steve Ellis
525,Joe Corroney
8718,Jeff Lafferty
527,Tom Palmer
529,June Chung
530,Andy Brase
532,Brandon Peterson
536,Greg Pak
8728,Jefte Palo
537,Carlo Pagulayan
8729,Jelena Kevic Djurdjevic
540,Aaron Lopresti
538,Jeffrey Huet
543,Mark Robinson
545,Duncan Fegredo
8737,Jerome Opena
546,Brian Ashmore
548,Andrew Hennessy
549,Lewis Larosa
552,Wade Von Grawbadger
553,Robert Kirkman
554,Ben Oliver
555,Mizuki Sakakibara
8748,Jill Thompson
8744,Jesse Blaze Snider
559,Paul Pelletier
560,Rick Magyar
563,Vince Russell
8758,Jim Rugg
567,Neil Gaiman
568,Art Thibert
569,Sean Phillips
570,Klaus Janson
571,Rob Liefeld
8764,Jock
8762,Joao M.P. Lemos
8766,Joe Ahearne
574,Simon Coleby
576,Jon Proctor
8769,Joe Cooper
8770,Joe Edkin
578,Fiona Avery
575,Brian Stelfreeze
583,Eddie Campbell
8775,Joe Sabino
585,Will Conrad
586,Michael Kelleher
588,Robert Teranishi
589,Nelson Decastro
592,Rachel Dodson
597,Tom Mandrake
600,Clayton Crain
8794,John Mccrea
602,Pat Quinn
8795,John Miller
8797,John Nadeau
606,Tsutomu Nihei
8799,John Ridgway
607,Damion Scott
609,Samm Barnes
610,Matt Ryan
613,Khary Randolph
614,Manuel Garcia
8806,John Timmons
616,Jay Leisten
8810,Jon B. Cooke
8811,Jon Buran
619,Jo Chen
621,Adriana Melo
8813,Jon Ennis
8814,Jon Malin
623,Watson Jemas
627,Christina Strain
8821,Jordan Raskin
630,Rai Lai
632,Stefano Raffaele
8825,Jorge Molina
8826,Jorge Santamaria
633,Weir DeFilippis
8827,Jorge Zaffino
637,Matthew Clark
8830,Jose Armenta
8828,Kano
8832,Jose Higon
641,Javier Saltares
643,Stuart Moore
644,Marc Guggenheim
645,Laurence Campbell
646,Rob Williams
8836,Jose Villarrubia
648,Simone Bianchi
649,Ed Mcguinness
647,Kris Justice
651,Brent Anderson
8838,Joseph Clark
653,Greg Tocchini
8847,Joshua Williamson
8848,Josue Justiniano
657,Karl Moline
658,Ron Lim
8849,Joyce Chin
656,Dante Bastianoni
661,Patch Zircher
655,Cliff Richards
663,Shane Davis
8856,Julian Lopez
665,Reilly Brown
670,Raul Trevino
8865,Karl Kerschl
674,Goran Parlov
8866,Karl Waller
676,Warren Ellis
678,Kevin J. Anderson
682,Todd Dezago
684,Mike Raicht
685,Gus Vazquez
8879,Kelly Goodine
688,Michael OHare
690,Patrick Scherberger
691,Jonboy Meyers
8885,Ken Knudtsen
694,Mark Brooks
699,Norman Lee
700,Logan Lubera
702,Sheldon Allen
704,Erik Larsen
707,Matt Manning
708,Mike Perkins
